year,month,day,tmax
1981,9,14,16.08753
1981,9,15,14.24708
1981,9,16,13.633293
1981,9,17,12.529905
1981,9,18,11.939192
1981,9,19,11.877708
1981,9,20,13.719158
1981,9,21,18.078227
1981,9,22,19.424013
1981,9,23,19.580032
1981,9,24,20.627482
1981,9,25,19.401727
1981,9,26,15.782515
1981,9,27,13.854464
1981,9,28,16.984425
1981,9,29,21.611631
1981,9,30,17.715826
1981,10,1,15.00385
1981,10,2,13.368573
1981,10,3,13.470437
1981,10,4,16.220231
1981,10,5,14.639417
1981,10,6,15.4915
1981,10,7,19.98784
1981,10,8,19.860273
1981,10,9,16.001769
1981,10,10,14.928317
1981,10,11,14.305755
1981,10,12,17.847862
1981,10,13,19.409268
1981,10,14,17.92837
1981,10,15,17.094667
1981,10,16,24.593349
1981,10,17,23.636585
1981,10,18,21.412145
1981,10,19,20.705537
1981,10,20,19.280942
1981,10,21,24.787181
1981,10,22,23.477729
1981,10,23,21.892627
1981,10,24,21.475409
1981,10,25,22.627721
1981,10,26,16.546255
1981,10,27,19.375101
1981,10,28,17.409652
1981,10,29,18.109029
1981,10,30,18.21966
1981,10,31,18.470657
1981,11,1,18.79387
1981,11,2,15.691373
1981,11,3,16.07037
1981,11,4,18.153291
1981,11,5,17.074998
1981,11,6,17.629168
1981,11,7,17.509834
1981,11,8,15.792477
1981,11,9,19.002212
1981,11,10,19.771853
1981,11,11,20.781663
1981,11,12,19.151793
1981,11,13,19.065914
1981,11,14,21.157644
1981,11,15,22.632981
1981,11,16,17.567399
1981,11,17,16.453999
1981,11,18,23.267418
1981,11,19,21.759103
1981,11,20,17.179672
1981,11,21,17.004824
1981,11,22,19.240955
1981,11,23,21.550901
1981,11,24,21.835535
1981,11,25,23.177656
1981,11,26,25.719858
1981,11,27,23.236591
1981,11,28,20.630994
1981,11,29,17.772898
1981,11,30,17.615964
1981,12,1,20.224433
1981,12,2,27.7387
1981,12,3,25.913589
1981,12,4,21.233407
1981,12,5,19.054033
1981,12,6,21.419884
1981,12,7,23.482501
1981,12,8,22.822993
1981,12,9,26.023474
1981,12,10,24.702235
1981,12,11,24.591755
1981,12,12,25.264795
1981,12,13,22.797867
1981,12,14,19.433799
1981,12,15,19.625854
1981,12,16,18.292203
1981,12,17,17.927323
1981,12,18,18.940352
1981,12,19,17.770089
1981,12,20,18.101791
1981,12,21,20.417947
1981,12,22,20.659441
1981,12,23,24.569049
1981,12,24,23.780157
1981,12,25,24.473082
1981,12,26,24.135899
1981,12,27,26.143475
1981,12,28,26.691686
1981,12,29,23.358529
1981,12,30,20.931547
1981,12,31,28.336797
1982,1,1,27.915706
1982,1,2,26.941012
1982,1,3,25.043567
1982,1,4,23.454919
1982,1,5,25.104164
1982,1,6,25.974962
1982,1,7,26.368567
1982,1,8,24.312795
1982,1,9,27.215302
1982,1,10,27.451364
1982,1,11,24.086319
1982,1,12,20.449312
1982,1,13,23.67652
1982,1,14,24.533561
1982,1,15,23.047217
1982,1,16,19.432976
1982,1,17,22.863207
1982,1,18,28.206477
1982,1,19,25.365332
1982,1,20,22.719795
1982,1,21,23.67252
1982,1,22,29.221698
1982,1,23,26.299182
1982,1,24,23.790209
1982,1,25,25.606772
1982,1,26,26.190188
1982,1,27,27.004995
1982,1,28,27.827921
1982,1,29,22.009475
1982,1,30,23.989151
1982,1,31,24.463243
1982,2,1,21.193858
1982,2,2,18.793676
1982,2,3,19.662381
1982,2,4,23.091268
1982,2,5,23.07298
1982,2,6,21.44508
1982,2,7,21.626387
1982,2,8,23.727397
1982,2,9,22.656081
1982,2,10,20.636322
1982,2,11,18.935774
1982,2,12,21.191749
1982,2,13,21.153881
1982,2,14,21.06232
1982,2,15,20.250537
1982,2,16,20.500664
1982,2,17,22.663051
1982,2,18,24.801881
1982,2,19,26.032014
1982,2,20,23.614766
1982,2,21,25.406479
1982,2,22,27.234201
1982,2,23,26.006767
1982,2,24,22.795694
1982,2,25,21.520063
1982,2,26,21.230517
1982,2,27,24.248457
1982,2,28,26.711771
1982,3,1,25.592547
1982,3,2,29.911304
1982,3,3,28.736352
1982,3,4,29.965392
1982,3,5,27.433931
1982,3,6,24.893634
