IHA Annual Summary Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
2002,1.06,1.05,1.208,1.415,4.96,10.48,5.07,12.1,11.1,17,9.435,4.76,1.05,1.05,1.05,1.051,1.121,82.3,72.03,53.81,24.4,16.71,0,0.1309,3,287,4,8,12,9.5,0.395,-0.61,96,1.06,1.05,1.208,1.415,3.47,7.01,4.2,9.42,8.6,8.31,7.83,4.76,,,,0,15.4,8,221,11,2.98,-1.048,,,,0,,,82.3,29,287,1,5.312,-4.585
2003,2.339,1.31,0.967,0.912,2.623,16.9,16.1,11.4,10.04,8.11,4.845,3.27,0.904,0.904,0.9047,0.9757,1.091,44.8,42.73,34.71,22.87,16.53,0,0.1236,97,173,5,17,7,4,0.4843,-0.07317,90,2.339,1.31,0.967,0.912,2.381,,,,9.346,7.73,4.78,3.27,,,,0,14.25,3,287,6,3.358,-2.033,44.8,102,173,1,1.609,-0.435,,,,0,,
2004,1.864,1,1.02,3.06,1.85,10.6,20.9,8.13,9.21,6.21,5.345,2.32,0.904,0.9117,0.9134,1.047,1.299,67,57.03,43.51,27.08,16.13,0,0.1388,88,184,4,15.5,9,2,0.66,-0.21,107,1.864,1,1.02,3.06,1.85,3.3,,6.745,7.965,5.59,5.32,2.32,,,,0,12.4,2,256.5,8,4.797,-2.395,,,,0,,,67,51,184,1,3.898,-1.569
2005,1.26,0.872,0.904,0.964,9.4,22.55,16,15.3,11.2,4.4,2.745,4.77,0.872,0.872,0.872,0.8747,0.9757,58.8,50.5,36.04,25.9,20.55,0,0.09994,41,150,5,16,6,4,1.1,-0.4,106,1.26,0.872,0.904,0.964,2.82,,8.72,,7.465,4.4,2.56,4.5,,,,0,10.3,1,332,5,1.93,-1.51,58.8,68,150,1,3.8,-0.878,,,,0,,
2006,2.58,1.235,1.2,2.28,2.65,16.3,17.3,12.4,6.305,4.35,2.835,2.1,0.949,0.9623,0.9731,1.172,1.408,37.1,35.07,27.9,19.67,17,0,0.1452,101,194,7,3,4,2.5,0.685,-0.205,120,2.58,1.235,1.2,1.975,2.52,6.66,,7.81,6.08,4.35,2.835,2.1,,,,0,14.85,2.5,170.5,4,4.463,-3.255,,,,0,,,,,,0,,
2007,1.181,0.7225,0.725,1.014,1.59,4.54,11.79,10.03,8.044,6.058,4.072,2.086,0.716,0.717,0.7181,0.7233,0.8354,19.9,16.97,12.83,11.88,10.15,0,0.1613,38,175,7,8,2,26.5,0.0565,-0.06512,56,1.181,0.8473,,1.29,1.59,3.885,5.59,9.314,8.044,6.058,4.072,2.086,0.7165,30,48,2,17.25,26.5,181,2,7.393,-1.9,,,,0,,,,,,0,,
2008,0.622,0.7507,0.466,0.6094,0.801,5.655,17.8,14.22,9.76,2.95,1.755,1.33,0.34,0.397,0.4221,0.4697,0.6241,51.2,48.3,43.8,25.68,18.71,0,0.06587,12,248,2,55.5,4,6.5,0.02,-0.16,83,0.8814,0.8605,1.02,,5.4,4.35,5.315,,5.76,2.95,1.755,1.33,0.4005,17,30.5,4,15.2,5,147,3,2.43,-3.99,51.2,73,248,1,0.7392,-3.49,,,,0,,
2009,0.546,0.2885,0.101,0.5395,1.313,2.228,3.174,15.7,11.25,4.49,6.54,2.62,0.058,0.06633,0.077,0.1303,0.325,62.6,58.6,49.27,26.64,13.78,0,0.01588,87,238,2,20.5,4,4,0.03101,-0.17,116,1.09,,,1.258,1.344,2.228,3.174,5.31,6.21,4.28,6.065,2.62,0.2605,56,99,2,15.1,3,302,3,6.065,-1.93,62.6,37,238,1,3.976,-2.209,,,,0,,
2010,1.58,1.17,0.921,0.8495,1.2,4.575,13,8.66,7.875,3.47,3.11,2.02,0.743,0.755,0.7766,0.8785,1.012,39.4,35.73,30.77,17.92,14.17,0,0.1496,76,241,10,5.5,5,6,0.375,-0.16,117,1.58,1.17,0.9265,0.859,1.2,3.73,9.305,7.97,6.86,3.47,3.11,2.02,0.752,3,97,3,16.5,6,212,5,7.648,-2.323,,,,0,,,,,,0,,
2011,1.11,0.655,0.602,1.325,1.89,7.86,10.5,15.1,12.7,5.67,2.575,1.14,0.417,0.434,0.4411,0.5496,0.7763,23,22.2,19.5,15.75,13.01,0,0.08326,66,223,7,7,6,4,0.45,-0.175,122,1.11,0.892,0.914,1.93,1.67,6.17,4.82,,9.06,5.67,2.575,1.19,0.632,3,76,9,14.2,4,184,6,4.128,-1.848,,,,0,,,,,,0,,
2012,0.182,0.3447,0.4728,0.6765,2.17,12.3,11.4,9.39,6.73,3.95,2.19,2.91,0.101,0.115,0.1264,0.2125,0.3456,35.2,32.73,27.64,18.89,12.4,0,0.02514,21,175,2,3.5,10,3,0.055,-0.27,100,,,,0.888,1.49,5.42,7.93,6.11,6.685,3.95,2.19,2.835,0.595,16,103,3,14.9,3,215.5,10,4.262,-2.528,,,,0,,,,,,0,,
2013,2.02,1.114,0.8512,1.03,1.95,6.785,13.6,12.2,8.525,3.54,2.305,0.714,0.378,0.3973,0.4167,0.7665,1.072,33.1,27.43,21.34,15.49,12.5,0,0.08168,363,185,5,17,6,8,0.485,-0.13,90,2.02,1.114,0.896,1.05,1.73,5.66,7.79,8.03,7.825,3.54,2.305,1.12,0.652,12,93,1,19,8,202.5,6,4.261,-1.119,,,,0,,,,,,0,,
2014,0.365,0.2115,0.118,0.9345,6.28,19.35,8.39,7.035,5.701,4.367,3.033,1.7,0.068,0.068,0.06814,0.1244,0.464,40.7,35.47,32.96,21.17,12.35,0,0.01344,57,163,5,13,4,2.5,0.439,-0.04373,62,1.665,0.921,2.3,1.03,5.51,9.17,8.39,7.035,5.701,4.367,3.033,1.7,0.356,8,35,5,13.95,2.5,142.5,4,5.88,-2.298,,,,0,,,,,,0,,
2015,0.093,0.068,0.068,0.1762,22.52,11.71,19.59,25.6,18.07,9.03,2.955,1.29,0.068,0.068,0.068,0.068,0.08827,41.6,40.73,38.98,28.64,21.49,0,0.007052,19,154,4,8,3,44,0.4483,-0.2028,49,1,,,2.313,7.364,8.38,,,,6.17,2.955,1.29,0.068,57,66,2,22.25,57.5,205.5,2,1.174,-0.9617,41.6,44,154,1,1.122,-2.081,,,,0,,
2016,0.882,0.535,0.397,0.701,0.783,0.9916,6.61,9.72,4.955,3.02,1.99,1.24,0.348,0.3577,0.3727,0.4011,0.5401,28.9,28.1,24.87,12.8,8.09,0,0.1281,87,231,10,3.5,4,1.5,0.152,-0.0855,102,0.9401,,1.11,1.35,0.838,0.9916,6.052,6.65,4.92,3.02,1.99,1.24,0.67,9.5,106.5,6,11.31,1.5,220,4,3.984,-2.437,,,,0,,,,,,0,,
2017,0.951,0.643,0.768,1.756,3.524,5.418,7.311,26,13.2,10.29,5.884,2.18,0.512,0.5233,0.5714,0.6776,0.8961,45.3,42.03,35.29,28.97,16.82,0,0.08657,46,246,5,18,2,33.5,0.06207,-0.1444,64,1.03,0.97,0.9175,1.818,3.524,5.418,7.311,8.428,7.53,8.845,5.884,2.18,0.6155,8,62.5,6,12.6,21,274,1,5.89,-0.1444,45.3,46,246,1,1.302,-1.889,,,,0,,
2018,1.27,0.5385,0.638,0.897,1.73,7.445,12.5,11,7.48,8.61,6.515,2.44,0.487,0.496,0.5101,0.5405,0.7285,33,30.7,24.51,15.14,12.35,0,0.08713,56,220,3,12,9,3,0.3,-0.26,102,1.27,0.7905,0.885,1.58,1.88,7.11,7.89,8.42,5.77,8.01,6.28,2.44,0.679,3,84,7,13.2,3,267,9,3.74,-1.56,,,,0,,,,,,0,,
2019,1.19,0.7055,0.654,0.6845,1.53,6.98,13.9,11.8,9.73,9.73,9.73,9.73,0.576,0.59,0.6159,0.662,0.7316,35.1,32.2,25.8,18.48,13.67,0,0.08802,88,204,6,3,7,2,0.41,-0.09,76,1.19,0.836,1.19,0.838,1.53,6.51,7.99,9.1,,,,,0.6455,11,75.5,6,13.4,2,196,7,4.48,-1.27,,,,0,,,,,,0,,
