"Description: ","Standardised Precipitation Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spi
1998-03, 0.720782264520081
1998-04, 0.711934678737107
1998-05, 0.607775102974752
1998-06, 0.648950231985692
1998-07, 0.652439776256137
1998-08, 0.502978009762443
1998-09, 0.531853321730853
1998-10, 0.419102101948988
1998-11, 0.360574969935101
1998-12, 0.277887874282183
1999-01, 0.200358625292522
1999-02, 0.210904133799306
1999-03, 0.302947893462683
1999-04, -0.0271776418581148
1999-05, 0.0402835577025374
1999-06, -0.130931001438226
1999-07, -0.55807270090693
1999-08, -0.722961996072236
1999-09, -0.535502042230734
1999-10, -0.74749368666571
1999-11, -0.919562430808096
1999-12, -0.987436885558196
2000-01, -1.00282712796891
2000-02, -0.768645017126788
2000-03, -0.789586723065384
2000-04, -0.768877654177524
2000-05, -0.770124714325232
2000-06, -0.0425691971017808
2000-07, -0.0558567411048645
2000-08, -0.0248077498727987
2000-09, 0.138521403274756
2000-10, 0.219285692184121
2000-11, 0.261283986230099
2000-12, 0.192221986725435
2001-01, 0.28766034951143
2001-02, 0.255415443041566
2001-03, 0.255910312760288
2001-04, 0.308554612872616
2001-05, 0.491943252738685
2001-06, 0.508311883625674
2001-07, 0.813611876414341
2001-08, 0.919217879169288
2001-09, 0.726688148138316
2001-10, 0.715436898020885
2001-11, 0.78265514363231
2001-12, 0.674937376063366
2002-01, 0.663326695902088
2002-02, 0.511466908030061
2002-03, 0.629678124519844
2002-04, 0.641047729584722
2002-05, 0.907028564793597
2002-06, 0.208079230721487
2002-07, 0.283735079261869
2002-08, 0.444941810758697
2002-09, 0.454489831636733
2002-10, 0.87811816320515
2002-11, 0.977850436257734
2002-12, 0.941624500865217
2003-01, 0.809969853996726
2003-02, 0.817975736011931
2003-03, 0.779071686689343
2003-04, 0.748437895283472
2003-05, 0.358490661413358
2003-06, 0.489868316326892
2003-07, 0.188430112970326
2003-08, 0.121475436480841
2003-09, 0.336633858621392
2003-10, 0.384511782107434
2003-11, 0.433363790018576
2003-12, 0.421877127579044
2004-01, 0.376172734394875
2004-02, 0.349882261506413
2004-03, 0.294694128039092
2004-04, 0.35798225902267
2004-05, -0.0411618862100528
2004-06, 0.154649960481233
2004-07, 0.360137801747923
2004-08, 0.237580822081696
2004-09, 0.188834725841005
2004-10, -0.195169694334414
2004-11, -0.236683313567184
2004-12, -0.330612788117883
2005-01, -0.336174863259231
2005-02, -0.342159048521715
2005-03, -0.330457213889789
2005-04, -0.323063149725231
2005-05, 0.29943161266012
2005-06, 0.0558069366672064
2005-07, 0.170407625643659
2005-08, 0.372835872472751
2005-09, 0.186640292458664
2005-10, 0.137944567950223
2005-11, 0.242776440430236
2005-12, 0.214379494665062
2006-01, 0.28157030111182
2006-02, 0.288087205389117
2006-03, 0.26784283045455
2006-04, 0.238922435869945
2006-05, 0.492965505150797
2006-06, 0.644423458224577
2006-07, 0.671079205981206
2006-08, 0.796897963633072
2006-09, 0.808034332534311
2006-10, 0.679823933337284
2006-11, 0.545261919520327
2006-12, 0.567096395835243
2007-01, 0.519550517858301
2007-02, 0.612228574671965
2007-03, 0.576254609325348
2007-04, 0.753091424145533
2007-05, 0.265522330640287
2007-06, 0.00780643268459279
2007-07, 0.059513698268689
2007-08, -0.1005423359784
2007-09, -0.108782849779004
2007-10, -0.172784173458664
2007-11, -0.428126716125938
2007-12, -0.516580288160951
2008-01, -0.638453745138832
2008-02, -0.64180003610428
2008-03, -0.730840779421468
2008-04, -0.89641364795354
2008-05, -0.672993560144613
2008-06, -0.988334622791145
2008-07, -0.988773230019786
2008-08, -0.915342567894172
2008-09, -1.11426383468116
2008-10, -1.14466985978525
2008-11, -1.10896926467374
2008-12, -1.23664130916412
2009-01, -1.2514653534361
2009-02, -1.2905049824459
2009-03, -1.36582874514773
2009-04, -1.66697191576498
2009-05, -1.31288617181308
2009-06, -1.22012573030431
2009-07, -1.4638196444327
2009-08, -1.20810310388617
2009-09, -1.22274752252727
2009-10, -1.06769249127617
2009-11, -0.873192527584681
2009-12, -0.798183166663334
2010-01, -0.80041947348805
2010-02, -0.668092621451701
2010-03, -0.670770216137994
2010-04, -0.718856037477391
2010-05, -1.21581526942968
2010-06, -1.19429828867918
2010-07, -1.29064545980222
2010-08, -1.51108730176895
2010-09, -1.59539233164964
2010-10, -1.54912580455406
2010-11, -1.49375461542756
2010-12, -1.46308108560633
2011-01, -1.40123715187438
2011-02, -1.47692182653626
2011-03, -1.37962819092298
2011-04, -1.13862721113323
2011-05, -1.36081958050422
2011-06, -1.39367583782134
2011-07, -1.34542856286511
2011-08, -1.35141502125049
2011-09, -1.17413586747895
2011-10, -1.24961066136954
2011-11, -1.39962653380932
2011-12, -1.47875300723955
2012-01, -1.52811171399999
2012-02, -1.53456650362478
2012-03, -1.55872814858398
2012-04, -1.55349739275643
2012-05, -1.18780922788957
2012-06, -1.09985834552892
2012-07, -1.31919616890577
2012-08, -1.3398148132102
2012-09, -1.34375962936265
2012-10, -1.38841749600257
2012-11, -1.33084106704027
2012-12, -0.960479155043069
2013-01, -1.08418932900513
2013-02, -1.08090717379245
2013-03, -1.18743204522749
2013-04, -1.26892509775277
2013-05, -1.23393330811869
2013-06, -1.2130042049226
2013-07, -1.18790544108122
2013-08, -1.52845903090776
2013-09, -1.76920078242454
2013-10, -1.74927307157003
2013-11, -1.69710754190687
2013-12, -1.70643025670201
2014-01, -1.64156853887712
2014-02, -1.82380813784129
2014-03, -1.76252916419674
2014-04, -1.56944899031817
2014-05, -1.60404319208645
2014-06, -1.5494897055133
2014-07, -1.10244294491617
2014-08, -1.1254942334877
2014-09, -0.969064411782175
2014-10, -0.869529033411221
2014-11, -0.931425310175867
2014-12, -1.34270405432687
2015-01, -1.37081773943745
2015-02, -1.41924765522984
2015-03, -1.48341810193817
2015-04, -1.56583740416612
2015-05, -1.46462422087785
2015-06, -1.38886986332978
2015-07, -0.913675128259589
2015-08, -0.584751758642366
2015-09, -0.440419130495591
2015-10, -0.387165154015648
2015-11, -0.399315050383481
2015-12, -0.356251999676573
2016-01, -0.427628711112557
2016-02, -0.449580222179424
2016-03, -0.563581879115171
2016-04, -0.597665856267904
2016-05, -0.823293963039172
2016-06, -1.45335975188143
2016-07, -1.32611897678143
2016-08, -1.24472527594315
2016-09, -1.40799590999828
2016-10, -1.26779130300508
2016-11, -1.27878279894074
2016-12, -1.14000409559537
2017-01, -1.10806970242219
