"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spei
1995-09, 1.10074289826593
1995-10, 1.14668984306223
1995-11, 1.00276914670855
1995-12, 0.718081996437415
1996-01, 0.700573793777493
1996-02, 0.762623277989806
1996-03, 0.874495714095136
1996-04, 0.8722393709732
1996-05, 1.02782819555044
1996-06, 0.762656868172771
1996-07, 0.379586131584837
1996-08, 0.635143244553897
1996-09, 0.485160836493303
1996-10, 0.400217611239447
1996-11, 0.329198225667134
1996-12, 0.152820427469205
1997-01, 0.111849969635252
1997-02, 0.17877999683862
1997-03, 0.126268582304781
1997-04, 0.28325696679778
1997-05, 0.567568005435239
1997-06, 0.616944191291458
1997-07, 0.700350772288191
1997-08, 0.505568293945357
1997-09, 0.514890603697606
1997-10, 0.632490444001217
1997-11, 0.832188593068583
1997-12, 0.900406079362951
1998-01, 0.844903120327142
1998-02, 0.790183710076657
1998-03, 0.714739925784011
1998-04, 0.690939821193225
1998-05, 0.596511333987192
1998-06, 0.653956903586983
1998-07, 0.63615887405086
1998-08, 0.441089087814595
1998-09, 0.4573686724572
1998-10, 0.306086788731956
1998-11, 0.2180093355147
1998-12, 0.131072734952974
1999-01, -0.00737558607713517
1999-02, -0.0165424282151334
1999-03, 0.145063241193521
1999-04, -0.220487628470448
1999-05, -0.122061560935989
1999-06, -0.283354658909083
1999-07, -0.730549303053635
1999-08, -0.87935881013867
1999-09, -0.72607843321264
1999-10, -0.937208355991143
1999-11, -1.10331534962253
1999-12, -1.17823303633382
2000-01, -1.18759511840131
2000-02, -0.953206308685629
2000-03, -0.946104062666819
2000-04, -0.916946867824387
2000-05, -0.914494698861554
2000-06, -0.189044662124695
2000-07, -0.240196083423169
2000-08, -0.230591518214914
2000-09, -0.0692927377367288
2000-10, 0.0634433814161886
2000-11, 0.159263893438512
2000-12, 0.112189566985852
2001-01, 0.292096521044031
2001-02, 0.258698757910919
2001-03, 0.264194273157973
2001-04, 0.326083382818414
2001-05, 0.560549813274848
2001-06, 0.593521661177028
2001-07, 0.897542303261242
2001-08, 1.00850226907597
2001-09, 0.759861260060983
2001-10, 0.759507556383054
2001-11, 0.868426227984529
2001-12, 0.71741157030586
2002-01, 0.677997864661964
2002-02, 0.43528447145593
2002-03, 0.589065138682075
2002-04, 0.60730384374499
2002-05, 0.921964495741285
